category,fixture_slug,root_cause_id,resolution_mode,first_diagnostic,all_diagnostics
any_unknown_typing_and_container_specialization_gap,0056_merge_intervals,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: return type mismatch: expected 'list[list[int]]', got 'list[list[int] | None]' || type error: sort() got an unexpected keyword argument 'key'"
any_unknown_typing_and_container_specialization_gap,0084_largest_rectangle_in_histogram,AU-1-any_element_type_erasure,compiler,type error: '>' not supported between instances of 'Any' and 'int',type error: '>' not supported between instances of 'Any' and 'int' || type error: cannot index type 'Any | None' with 'int'
any_unknown_typing_and_container_specialization_gap,0239_sliding_window_maximum,AU-1-any_element_type_erasure,compiler,type error: '<' not supported between instances of 'Any' and 'int',type error: '<' not supported between instances of 'Any' and 'int' || type error: '>' not supported between instances of 'int' and 'Any' || type error: cannot index type 'deque' with 'int' || type error: cannot index type 'list[int]' with 'Any'
any_unknown_typing_and_container_specialization_gap,0253_meeting_rooms_ii,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: parameter 'self' in function 'minMeetingRooms' is missing a type annotation || type error: sort() got an unexpected keyword argument 'key' || type error: unsupported operand type(s) for +: 'int' and 'Any'"
any_unknown_typing_and_container_specialization_gap,0456_132_pattern,AU-1-any_element_type_erasure,compiler,type error: '<' not supported between instances of 'int' and 'Any',"type error: '<' not supported between instances of 'int' and 'Any' || type error: '>=' not supported between instances of 'int' and 'Any' || type error: cannot index type 'Any | None' with 'int' || type error: list element type mismatch: expected 'int', got 'int | None' || type error: min() with 2 arguments does not accept optional operands; got 'int' and 'int | None' (guard or unwrap first)"
any_unknown_typing_and_container_specialization_gap,0739_daily_temperatures,AU-1-any_element_type_erasure,compiler,type error: '>' not supported between instances of 'int' and 'Any',type error: '>' not supported between instances of 'int' and 'Any' || type error: cannot index type 'Any | None' with 'int'
any_unknown_typing_and_container_specialization_gap,0862_shortest_subarray_with_sum_at_least_k,AU-1-any_element_type_erasure,compiler,type error: '<=' not supported between instances of 'int' and 'Any',type error: '<=' not supported between instances of 'int' and 'Any' || type error: cannot index type 'deque' with 'int' || type error: cannot index type 'list[int]' with 'Any' || type error: unsupported operand type(s) for +: 'int | None' and 'int' || type error: unsupported operand type(s) for -: 'int' and 'Any'
any_unknown_typing_and_container_specialization_gap,1029_two_city_scheduling,AU-1-any_element_type_erasure,compiler,type error: cannot index type 'Any' with 'int',"type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]' || type error: unsupported operand type(s) for +: 'int' and 'Any'"
any_unknown_typing_and_container_specialization_gap,1137_n_th_tribonacci_number,AU-1-any_element_type_erasure,compiler,type error: unsupported operand type(s) for +: 'Any' and 'Any',type error: unsupported operand type(s) for +: 'Any' and 'Any'
any_unknown_typing_and_container_specialization_gap,1288_remove_covered_intervals,AU-1-any_element_type_erasure,compiler,type error: bad operand type for unary -: 'Any',"type error: bad operand type for unary -: 'Any' || type error: cannot index type 'Any' with 'int' || type error: for loop tuple target expects iterable elements of tuple type, got 'list[int]'"
