category,fixture_slug,root_cause_id,resolution_mode,expected_outcome_after_focus4,expected_blocker_category,notes
any_unknown_typing_and_container_specialization_gap,0056_merge_intervals,AU-1-any_element_type_erasure,compiler,migrate:python_stdlib_parity,python_stdlib_parity,sort(key=...) parity gap
any_unknown_typing_and_container_specialization_gap,0084_largest_rectangle_in_histogram,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0239_sliding_window_maximum,AU-1-any_element_type_erasure,compiler,migrate:python_stdlib_parity,python_stdlib_parity,deque indexing parity gap
any_unknown_typing_and_container_specialization_gap,0253_meeting_rooms_ii,AU-1-any_element_type_erasure,compiler,migrate:python_stdlib_parity,python_stdlib_parity,sort(key=...) parity gap
any_unknown_typing_and_container_specialization_gap,0456_132_pattern,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0739_daily_temperatures,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0862_shortest_subarray_with_sum_at_least_k,AU-1-any_element_type_erasure,compiler,migrate:python_stdlib_parity,python_stdlib_parity,deque indexing parity gap
any_unknown_typing_and_container_specialization_gap,1029_two_city_scheduling,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,1137_n_th_tribonacci_number,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,1288_remove_covered_intervals,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,1851_minimum_interval_to_include_each_query,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,2306_naming_a_company,AU-1-any_element_type_erasure,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0210_course_schedule_ii,AU-2-unknown_flow_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,0332_reconstruct_itinerary,AU-2-unknown_flow_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,2092_find_all_people_with_secret,AU-2-unknown_flow_leak,compiler,pass,,expected to pass after focus-4 closure
any_unknown_typing_and_container_specialization_gap,2101_detonate_the_maximum_bombs,AU-2-unknown_flow_leak,compiler,migrate:python_stdlib_parity,python_stdlib_parity,sqrt unresolved in focus-4
any_unknown_typing_and_container_specialization_gap,0355_design_twitter,AU-3-optional_any_bridge_leak,compiler,multi_workstream,,requires convergence across multiple focus-4 workstreams
