fixture_slug,status,failure_stage,codes,root_cause_family,resolution_lane,rationale,first_rust_error_line,first_output_line
0002_add_two_numbers,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0006_zigzag_conversion,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0014_longest_common_prefix,RUN_ERROR,run,E0382,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0382]: borrow of moved value: `prefix`,build error: cargo build failed:
0014_longest_common_prefix_v2,RUN_ERROR,run,E0382,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0382]: borrow of moved value: `prefix`,build error: cargo build failed:
0019_remove_nth_node_from_end_of_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0020_valid_parentheses,RUN_ERROR,run,E0600,truthiness_bool_lowering_gap,compiler_fix,Generated Rust applied unary ! to non-bool container/string shape.,error[E0600]: cannot apply unary operator `!` to type `Vec<String>`,build error: cargo build failed:
0021_merge_two_sorted_lists,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0025_reverse_nodes_in_k_group,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0046_permutations,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0048_rotate_image,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0051_n_queens,RUN_ERROR,run,E0425,binding_scope_and_capture_emission_gap,compiler_fix,Generated Rust references missing/self/capture-invalid bindings.,error[E0425]: cannot find value `row` in this scope,build error: cargo build failed:
0061_rotate_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0083_remove_duplicates_from_sorted_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0086_partition_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0092_reverse_linked_list_ii,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0101_symmetric_tree,RUN_ERROR,run,E0609,recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `&Option<TreeNode>`,build error: cargo build failed:
0105_construct_binary_tree_from_preorder_and_inorder_traversal,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0106_construct_binary_tree_from_inorder_and_postorder_traversal,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0108_convert_sorted_array_to_binary_search_tree,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: arguments to this function are incorrect,build error: cargo build failed:
0124_binary_tree_maximum_path_sum,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
0127_word_ladder,RUN_ERROR,run,E0382,ownership_and_borrow_emission_gap,compiler_fix,Generated Rust violates move/borrow rules (use-after-move or aliasing borrow).,error[E0382]: use of moved value: `word`,build error: cargo build failed:
0138_copy_list_with_random_pointer,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched ...<truncated>,build error: cargo build failed:
0141_linked_list_cycle,RUN_ERROR,run,"E0277,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0143_reorder_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0147_insertion_sort_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0148_sort_list,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0160_intersection_of_two_linked_lists,RUN_ERROR,run,"E0308,E0609",recursive_field_surface_leaks_to_codegen_without_gate,both,"Unsupported/unstable recursive field surface reached codegen; compiler must gate/fix, and fixture may need Sifr-safe rewrite unless surface is expanded.",error[E0609]: no field `val` on type `Option<ListNode>`,build error: cargo build failed:
0189_rotate_array,RUN_ERROR,run,E0308,type_contract_emission_gap,compiler_fix,"Generated Rust type contracts are inconsistent (Option boxing, arg/return mismatch, trait bound mismatch).",error[E0308]: mismatched types,build error: cargo build failed:
