fixture_slug,status,first_diagnostic,subcategory,resolution_path,rationale
0019_remove_nth_node_from_end_of_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Compiler must support `.next` field reads; fixture also needs explicit mut/own/optional-safe flow under Sifr rules.
0021_merge_two_sorted_lists,CHECK_ERROR,"type error: argument 1 ('list1') of function 'mergeTwoLists': expected 'ListNode', got 'None'",nullable_function_boundary_signature,sifr_adaptation,Fixture has duplicate `mergeTwoLists` signatures; keep canonical optional signature and remove conflicting overload style.
0025_reverse_nodes_in_k_group,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Primary blocker is `.next` expression surface; fixture then needs ownership-safe rewrites.
0061_rotate_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field reads are blocked; fixture also requires explicit mutability and move-safe updates.
0083_remove_duplicates_from_sorted_list,CHECK_ERROR,type error: attribute access '.val' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field access support is missing and ownership boundary handling is still required.
0092_reverse_linked_list_ii,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Needs field-expression support plus Sifr-compliant method/signature cleanup.
0094_binary_tree_inorder_traversal,CHECK_ERROR,type error: attribute access '.right' is not supported as an expression; use as a method call,field_expression_access_unsupported,compiler_fix,Pure tree field-read traversal shape; unblock by compiler field-expression + node-read typing support.
0101_symmetric_tree,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,compiler_fix,Core issue is node field expression plus collection-truthiness/codepath typing; no structural fixture rewrite required.
0112_path_sum,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,"Field access is blocked, and fixture contains duplicate/untyped helper surface requiring adaptation."
0124_binary_tree_maximum_path_sum,CHECK_ERROR,"type error: argument 1 of callable 'dfs': expected 'TreeNode', got 'None | TreeNode'",nullable_function_boundary_signature,both,Nested helper contract should accept nullable nodes; compiler optional-flow stabilization is also needed.
0138_copy_list_with_random_pointer,CHECK_ERROR,"type error: argument 1 ('head') of function 'copyRandomList': expected '""Node""', got 'None | Node'",nullable_function_boundary_signature,both,Quoted-node/nullable boundary plus field-expression and dict typing gaps; requires compiler closure and fixture normalization.
0143_reorder_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,`.next` expression support missing; fixture additionally uses assignment/ownership shapes that need Sifr adaptation.
0146_lru_cache,CHECK_ERROR,type error: attribute access '.prev' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Custom node field access is blocked; fixture also needs explicit class-field declarations and typed signatures.
0147_insertion_sort_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Compiler field access gap plus ownership-safe rewiring required.
0148_sort_list,CHECK_ERROR,type error: attribute access '.next' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Field access is blocked and fixture needs ownership/truthiness adaptation for Sifr.
0199_binary_tree_right_side_view,CHECK_ERROR,type error: attribute access '.left' is not supported as an expression; use as a method call,field_expression_access_unsupported,both,Tree field reads are blocked; queue/truthiness and move semantics need Sifr-safe shaping.
0203_remove_linked_list_elements,CHECK_ERROR,"type error: argument 1 ('head') of function 'removeElements': expected 'ListNode', got 'None'",nullable_function_boundary_signature,sifr_adaptation,Canonical LeetCode signature is nullable head; fixture must use `ListNode | None` and explicit return contract.
