fixture_slug,category,root_cause_id,resolution_mode,first_diagnostic,rationale
0621_task_scheduler,any_unknown_typing_and_container_specialization_gap,AU-1-heapq-unknown-container-shape,compiler,"type error: argument 1 ('data') of function '__compat_sifr_heapq_heapify': expected 'list[T]', got 'Unknown'",Unknown container shape reaches heapq compat boundary
0767_reorganize_string,any_unknown_typing_and_container_specialization_gap,AU-1-heapq-unknown-container-shape,compiler,"type error: argument 1 ('data') of function '__compat_sifr_heapq_heapify': expected 'list[T]', got 'Unknown'",Unknown container shape reaches heapq compat boundary
1481_least_number_of_unique_integers_after_k_removals,any_unknown_typing_and_container_specialization_gap,AU-1-heapq-unknown-container-shape,compiler,"type error: argument 1 ('data') of function '__compat_sifr_heapq_heapify': expected 'list[T]', got 'Unknown'",Unknown container shape reaches heapq compat boundary
1985_find_the_kth_largest_integer_in_the_array,any_unknown_typing_and_container_specialization_gap,AU-1-heapq-unknown-container-shape,compiler,"type error: argument 1 ('data') of function '__compat_sifr_heapq_heapify': expected 'list[T]', got 'Unknown'",Unknown container shape reaches heapq compat boundary
0079_word_search,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '>' not supported between instances of 'Any' and 'Any',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0084_largest_rectangle_in_histogram,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '>' not supported between instances of 'Unknown' and 'int',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0118_pascals_triangle,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: cannot index type 'Any' with 'int',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0225_implement_stack_using_queues,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: cannot index type 'Any' with 'int',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0269_alien_dictionary,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: cannot index type 'Unknown' with 'int',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0383_ransom_note,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '<' not supported between instances of 'Any' and 'Any',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0496_next_greater_element_i,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: 'in' operator not supported for type 'Unknown',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0739_daily_temperatures,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '>' not supported between instances of 'int' and 'Unknown',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0901_online_stock_span,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '<=' not supported between instances of 'Any' and 'int',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0909_snakes_and_ladders,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: cannot index type 'Any' with 'int | None',Any/Unknown escapes stabilization and reaches operator/index/iteration sites; secondary: index type is int | None (potential ON root cause may surface after AU-2 closure)
0953_verifying_an_alien_dictionary,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: '<' not supported between instances of 'Any' and 'Any',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
1049_last_stone_weight_ii,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: subscript assignment is not supported for type 'Unknown',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
1189_maximum_number_of_balloons,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,"type error: for-loop iterable must have a statically-known element type, got 'Unknown'",Any/Unknown escapes stabilization and reaches operator/index/iteration sites
1462_course_schedule_iv,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: 'in' operator not supported for type 'Unknown | None',"Any/Unknown escapes stabilization and reaches operator/index/iteration sites; secondary: if Unknown resolves first, residual concrete | None may surface as ON-2"
1572_matrix_diagonal_sum,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,"type error: len() argument must be a string, bytes, list, dict, tuple, set, or sized class, got 'Any'",Any/Unknown escapes stabilization and reaches operator/index/iteration sites
2306_naming_a_company,any_unknown_typing_and_container_specialization_gap,AU-2-any-unknown-flow-and-operator-leak,compiler,type error: 'not in' operator not supported for type 'Unknown',Any/Unknown escapes stabilization and reaches operator/index/iteration sites
0155_min_stack,any_unknown_typing_and_container_specialization_gap,AU-3-any-unknown-optional-bridge,compiler,type error: min() with 2 arguments does not accept optional operands; got 'int' and 'Any | None' (guard or unwrap first),Unknown/Any optional bridge not collapsed before return or arithmetic contract checks
0232_implement_queue_using_stacks,any_unknown_typing_and_container_specialization_gap,AU-3-any-unknown-optional-bridge,compiler,"type error: return type mismatch: expected 'int', got 'Any | None'",Unknown/Any optional bridge not collapsed before return or arithmetic contract checks
0303_range_sum_query_immutable,any_unknown_typing_and_container_specialization_gap,AU-3-any-unknown-optional-bridge,compiler,type error: unsupported operand type(s) for -: 'Any | None' and 'Any | None',Unknown/Any optional bridge not collapsed before return or arithmetic contract checks
0535_encode_and_decode_tinyurl,any_unknown_typing_and_container_specialization_gap,AU-3-any-unknown-optional-bridge,compiler,"type error: return type mismatch: expected 'str', got 'Any | None'",Unknown/Any optional bridge not collapsed before return or arithmetic contract checks
1642_furthest_building_you_can_reach,any_unknown_typing_and_container_specialization_gap,AU-3-any-unknown-optional-bridge,compiler,type error: bad operand type for unary -: 'None | Unknown',Unknown/Any optional bridge not collapsed before return or arithmetic contract checks
0350_intersection_of_two_arrays_ii,any_unknown_typing_and_container_specialization_gap,AU-4-unknown-stdlib-contract-surface,compiler,"type error: defaultdict() initial mapping must be a dict, got 'Unknown'",Unknown flows into strict stdlib constructor contract
1472_design_browser_history,any_unknown_typing_and_container_specialization_gap,AU-5-signature-annotation-required,adaptation,type error: parameter 'next' in ListNode.__init__ is missing a type annotation,Fixture requires explicit annotation under current Sifr policy
0001_two_sum,any_unknown_typing_and_container_specialization_gap,AU-6-list-unknown-specialization,compiler,"type error: return type mismatch: expected 'list[int]', got 'list[Unknown]'",List element type specialization remains Unknown at function boundary
0076_minimum_window_substring,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int | None' and 'int',Optional union survives into arithmetic/comparison operators
0134_gas_station,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for -: 'int' and 'int | None',Optional union survives into arithmetic/comparison operators
0149_max_points_on_a_line,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for -: 'int | None' and 'int | None',Optional union survives into arithmetic/comparison operators
0153_find_minimum_in_rotated_sorted_array,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: min() with 2 arguments does not accept optional operands; got 'float' and 'int | None' (guard or unwrap first),Optional union survives into arithmetic/comparison operators
0286_walls_and_gates,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int | None' and 'int',Optional union survives into arithmetic/comparison operators
0338_counting_bits,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for +: 'int' and 'int | None',Optional union survives into arithmetic/comparison operators
0410_split_array_largest_sum,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for -: 'int' and 'int | None',Optional union survives into arithmetic/comparison operators
0658_find_k_closest_elements,optional_none_flow_and_narrowing_gap,ON-1-optional-arithmetic-operator-leak,compiler,type error: unsupported operand type(s) for -: 'int' and 'int | None',Optional union survives into arithmetic/comparison operators
