rank,module,category,impact,effort,score,import_refs,source_loc,test_loc
1,atexit,algorithmic_general,5.0,1.8,8.34,25,0,227
2,getopt,algorithmic_general,5.0,1.8,8.34,12,232,249
3,abc,algorithmic_general,5.0,2.5,7.5,42,188,699
4,stat,algorithmic_general,5.0,2.5,7.5,48,227,339
5,contextvars,async_concurrency,5.0,2.8,7.14,23,8,0
6,numbers,algorithmic_general,4.8,2.5,7.08,6,427,0
7,calendar,algorithmic_general,5.0,3.3,6.54,10,960,1313
8,contextlib,algorithmic_general,5.0,3.3,6.54,190,797,1435
9,copy,algorithmic_general,5.0,3.3,6.54,86,286,989
10,gettext,algorithmic_general,5.0,3.3,6.54,13,657,1086
11,operator,algorithmic_general,5.0,3.3,6.54,70,475,775
12,pprint,algorithmic_general,5.0,3.3,6.54,16,754,1490
13,struct,algorithmic_general,5.0,3.3,6.54,75,15,1025
14,sysconfig,algorithmic_general,5.0,3.3,6.54,60,1037,887
15,errno,os_platform_ext,5.0,3.4,6.42,101,0,33
16,msvcrt,os_platform_ext,5.0,3.4,6.42,26,0,120
17,select,os_platform_ext,5.0,3.4,6.42,30,0,104
18,selectors,async_concurrency,5.0,3.5,6.3,18,603,617
19,warnings,runtime_introspection,5.0,3.5,6.3,259,99,0
20,tty,algorithmic_general,4.0,1.8,6.24,6,73,94
21,nt,os_platform_ext,5.0,3.6,6.18,26,0,0
22,compression,algorithmic_general,4.8,3.3,6.12,14,769,0
23,posixpath,algorithmic_general,4.8,3.3,6.12,16,597,1301
24,builtins,runtime_introspection,5.0,3.7,6.06,62,0,0
25,shlex,ecosystem_networking_io,5.0,3.7,6.06,24,351,383
26,dataclasses,algorithmic_general,5.0,4.1,5.58,43,1805,0
27,fractions,algorithmic_general,5.0,4.1,5.58,36,1078,1713
28,locale,algorithmic_general,5.0,4.1,5.58,40,1796,792
29,pickle,algorithmic_general,5.0,4.1,5.58,148,1962,817
30,sqlite3,os_platform_ext,5.0,4.1,5.58,23,533,0
31,weakref,algorithmic_general,5.0,4.1,5.58,116,574,2376
32,cmd,algorithmic_general,4.0,2.5,5.4,5,414,331
33,filecmp,algorithmic_general,4.0,2.5,5.4,4,320,371
34,genericpath,algorithmic_general,4.0,2.5,5.4,5,220,631
35,getpass,algorithmic_general,4.0,2.5,5.4,3,256,241
36,modulefinder,algorithmic_general,4.0,2.5,5.4,3,680,453
37,pty,algorithmic_general,4.0,2.5,5.4,5,182,445
38,sched,algorithmic_general,3.6,1.8,5.4,2,167,226
39,queue,async_concurrency,5.0,4.3,5.34,30,383,1074
40,configparser,algorithmic_general,4.8,4.1,5.16,4,1415,2279
41,hmac,algorithmic_general,4.8,4.1,5.16,7,283,1590
42,ntpath,algorithmic_general,4.8,4.1,5.16,9,877,1697
43,optparse,algorithmic_general,4.8,4.1,5.16,8,1678,1684
44,grp,os_platform_ext,4.4,3.4,5.16,9,0,111
45,pwd,os_platform_ext,4.4,3.4,5.16,19,0,114
46,gzip,ecosystem_networking_io,5.0,4.5,5.1,11,715,1156
47,ast,runtime_introspection,4.8,4.2,5.04,31,694,0
48,linecache,runtime_introspection,4.8,4.2,5.04,32,293,437
49,readline,runtime_introspection,4.8,4.2,5.04,23,0,457
50,posix,os_platform_ext,4.4,3.6,4.92,17,0,0
51,codecs,algorithmic_general,5.0,4.8,4.74,162,1125,3912
52,decimal,algorithmic_general,5.0,4.8,4.74,34,109,6042
53,enum,algorithmic_general,5.0,4.8,4.74,54,2197,5573
54,profiling,algorithmic_general,5.0,4.8,4.74,52,9185,0
55,binascii,os_platform_ext,5.0,4.9,4.62,25,0,1008
56,signal,os_platform_ext,5.0,4.9,4.62,85,94,1481
57,unicodedata,os_platform_ext,5.0,4.9,4.62,20,0,1130
58,zlib,os_platform_ext,5.0,4.9,4.62,20,0,1236
59,copyreg,runtime_introspection,4.2,3.5,4.62,14,222,128
60,keyword,runtime_introspection,4.2,3.5,4.62,12,65,56
61,opcode,runtime_introspection,4.2,3.5,4.62,13,126,0
62,rlcompleter,runtime_introspection,4.2,3.5,4.62,8,232,187
63,token,runtime_introspection,4.2,3.5,4.62,9,144,0
64,quopri,ecosystem_networking_io,3.9,3.0,4.59,4,235,213
65,colorsys,algorithmic_general,3.2,1.8,4.56,1,166,110
66,array,os_platform_ext,5.0,5.0,4.5,56,0,1742
67,asyncio,async_concurrency,5.0,5.0,4.5,103,14922,0
68,concurrent,async_concurrency,5.0,5.0,4.5,100,2759,0
69,ctypes,os_platform_ext,5.0,5.0,4.5,161,2425,0
70,email,ecosystem_networking_io,5.0,5.0,4.5,181,10496,0
71,gc,runtime_introspection,5.0,5.0,4.5,110,0,1699
72,html,ecosystem_networking_io,5.0,5.0,4.5,14,3198,103
73,http,ecosystem_networking_io,5.0,5.0,4.5,41,5621,0
74,idlelib,runtime_introspection,5.0,5.0,4.5,328,34617,0
75,importlib,runtime_introspection,5.0,5.0,4.5,195,6573,0
76,inspect,runtime_introspection,5.0,5.0,4.5,82,3414,0
77,multiprocessing,async_concurrency,5.0,5.0,4.5,97,9183,0
78,socket,ecosystem_networking_io,5.0,5.0,4.5,128,997,7518
79,ssl,ecosystem_networking_io,5.0,5.0,4.5,40,1576,5796
80,subprocess,ecosystem_networking_io,5.0,5.0,4.5,154,2396,4217
81,sys,runtime_introspection,5.0,5.0,4.5,996,0,2286
82,threading,async_concurrency,5.0,5.0,4.5,300,1636,2579
83,tkinter,ecosystem_networking_io,5.0,5.0,4.5,214,8760,0
84,traceback,runtime_introspection,5.0,5.0,4.5,79,1865,5367
85,turtle,ecosystem_networking_io,5.0,5.0,4.5,20,4291,695
86,types,runtime_introspection,5.0,5.0,4.5,205,354,2624
87,typing,runtime_introspection,5.0,5.0,4.5,148,3913,11099
88,unittest,ecosystem_networking_io,5.0,5.0,4.5,1225,7145,0
89,urllib,ecosystem_networking_io,5.0,5.0,4.5,73,4018,1699
90,xml,ecosystem_networking_io,5.0,5.0,4.5,88,8714,0
91,zipfile,ecosystem_networking_io,5.0,5.0,4.5,21,2983,0
92,socketserver,ecosystem_networking_io,4.7,4.5,4.47,9,869,529
93,zipimport,ecosystem_networking_io,4.7,4.5,4.47,9,830,1110
94,zoneinfo,algorithmic_general,4.0,3.3,4.44,6,1167,0
95,encodings,algorithmic_general,4.8,4.8,4.32,10,32493,0
96,dbm,os_platform_ext,4.4,4.1,4.32,12,693,322
97,fcntl,os_platform_ext,4.4,4.1,4.32,13,0,293
98,resource,os_platform_ext,4.4,4.1,4.32,12,0,258
99,termios,os_platform_ext,4.4,4.1,4.32,11,0,298
100,winreg,os_platform_ext,4.4,4.1,4.32,14,0,599
101,dis,runtime_introspection,4.8,5.0,4.08,30,1165,2631
102,doctest,runtime_introspection,4.8,5.0,4.08,45,2997,0
103,faulthandler,runtime_introspection,4.8,5.0,4.08,45,0,995
104,marshal,runtime_introspection,4.8,5.0,4.08,22,0,726
105,tokenize,runtime_introspection,4.8,5.0,4.08,27,598,3480
106,wsgiref,ecosystem_networking_io,4.7,5.0,3.87,10,1611,872
107,pkgutil,runtime_introspection,4.2,4.2,3.78,11,474,637
108,py_compile,runtime_introspection,4.2,4.2,3.78,15,214,338
109,ensurepip,ecosystem_networking_io,3.9,3.7,3.75,5,311,366
110,shelve,algorithmic_general,3.2,2.5,3.72,2,266,450
111,stringprep,algorithmic_general,3.2,2.5,3.72,2,272,92
112,pickletools,algorithmic_general,4.0,4.1,3.48,4,2891,691
113,syslog,os_platform_ext,3.6,3.4,3.48,5,0,147
114,bz2,os_platform_ext,4.4,4.9,3.36,14,352,1205
115,curses,os_platform_ext,4.4,4.9,3.36,16,599,1441
116,lzma,os_platform_ext,4.4,5.0,3.24,11,364,2097
117,nturl2path,algorithmic_general,2.5,1.8,3.09,0,74,107
118,tarfile,ecosystem_networking_io,4.3,5.0,3.03,4,3141,4861
119,annotationlib,runtime_introspection,4.2,5.0,2.82,18,1152,2252
120,pdb,runtime_introspection,4.2,5.0,2.82,19,3703,5251
121,pstats,runtime_introspection,4.2,5.0,2.82,8,840,159
122,reprlib,runtime_introspection,4.2,5.0,2.82,14,230,875
123,runpy,runtime_introspection,4.2,5.0,2.82,14,317,891
124,fileinput,ecosystem_networking_io,3.9,4.5,2.79,4,442,1007
125,ftplib,ecosystem_networking_io,3.9,4.5,2.79,6,966,1163
126,mimetypes,ecosystem_networking_io,3.9,4.5,2.79,5,749,510
127,plistlib,ecosystem_networking_io,3.9,4.5,2.79,6,941,1254
128,webbrowser,ecosystem_networking_io,3.9,4.5,2.79,7,749,578
129,smtplib,ecosystem_networking_io,3.9,5.0,2.19,4,1121,1611
130,xmlrpc,ecosystem_networking_io,3.9,5.0,2.19,6,2507,1540
131,codeop,runtime_introspection,3.4,4.2,2.1,4,154,330
132,pyclbr,runtime_introspection,3.4,4.2,2.1,4,313,287
133,netrc,ecosystem_networking_io,3.1,3.7,2.07,2,199,314
