category,fixture_slug,diagnostic,error_line,error_col,source_line
any_unknown_typing_and_container_specialization_gap,0056_merge_intervals,type error: cannot index type 'Any' with 'int',,,
any_unknown_typing_and_container_specialization_gap,0084_largest_rectangle_in_histogram,type error: '>' not supported between instances of 'Any' and 'int',,,
any_unknown_typing_and_container_specialization_gap,0144_binary_tree_preorder_traversal,type error: cannot compare 'list[int]' and 'list[Any]' with ==,,,
any_unknown_typing_and_container_specialization_gap,0145_binary_tree_postorder_traversal,type error: cannot compare 'list[int]' and 'list[Any]' with ==,,,
any_unknown_typing_and_container_specialization_gap,0210_course_schedule_ii,type error: cannot index type 'Unknown' with 'int',,,
any_unknown_typing_and_container_specialization_gap,0239_sliding_window_maximum,type error: '<' not supported between instances of 'Any' and 'int',,,
any_unknown_typing_and_container_specialization_gap,0253_meeting_rooms_ii,type error: cannot index type 'Any' with 'int',,,
any_unknown_typing_and_container_specialization_gap,0332_reconstruct_itinerary,"type error: argument 1 of callable 'dfs': expected 'dict[str, list[str]]', got 'Unknown'",,,
any_unknown_typing_and_container_specialization_gap,0355_design_twitter,type error: cannot unpack non-tuple type 'None | Any',,,
any_unknown_typing_and_container_specialization_gap,0402_remove_k_digits,type error: '>' not supported between instances of 'Any | None' and 'str',,,
any_unknown_typing_and_container_specialization_gap,0442_find_all_duplicates_in_an_array,type error: cannot compare 'list[int]' and 'list[Any]' with ==,,,
any_unknown_typing_and_container_specialization_gap,0456_132_pattern,type error: '<' not supported between instances of 'int' and 'Any',,,
any_unknown_typing_and_container_specialization_gap,0496_next_greater_element_i,type error: '>' not supported between instances of 'int' and 'Any | None',,,
any_unknown_typing_and_container_specialization_gap,0735_asteroid_collision,type error: '>' not supported between instances of 'Any | None' and 'int',,,
any_unknown_typing_and_container_specialization_gap,0739_daily_temperatures,type error: '>' not supported between instances of 'int' and 'Any',,,
any_unknown_typing_and_container_specialization_gap,0862_shortest_subarray_with_sum_at_least_k,type error: '<=' not supported between instances of 'int' and 'Any',,,
any_unknown_typing_and_container_specialization_gap,1029_two_city_scheduling,type error: cannot index type 'Any' with 'int',,,
any_unknown_typing_and_container_specialization_gap,1137_n_th_tribonacci_number,type error: unsupported operand type(s) for +: 'Any' and 'Any',,,
any_unknown_typing_and_container_specialization_gap,1288_remove_covered_intervals,type error: bad operand type for unary -: 'Any',,,
any_unknown_typing_and_container_specialization_gap,1475_final_prices_with_a_special_discount_in_a_shop,type error: '<=' not supported between instances of 'Any | None' and 'int',,,
any_unknown_typing_and_container_specialization_gap,1489_find_critical_and_pseudo_critical_edges_in_minimum_spanning_tree,type error: cannot compare 'list[list[int]]' and 'list[list[Any]]' with ==,,,
any_unknown_typing_and_container_specialization_gap,1642_furthest_building_you_can_reach,type error: bad operand type for unary -: 'None | Any',,,
any_unknown_typing_and_container_specialization_gap,1851_minimum_interval_to_include_each_query,type error: '<' not supported between instances of 'Any' and 'int',,,
any_unknown_typing_and_container_specialization_gap,2092_find_all_people_with_secret,type error: cannot iterate over type 'Unknown | None',,,
any_unknown_typing_and_container_specialization_gap,2101_detonate_the_maximum_bombs,type error: cannot index type 'Unknown' with 'int',,,
any_unknown_typing_and_container_specialization_gap,2306_naming_a_company,type error: cannot iterate over type 'set[Any] | None',,,
class_field_state_and_object_layout,0155_min_stack,type error: type 'MinStack' has no field 'minStack',,,
class_field_state_and_object_layout,0208_implement_trie_prefix_tree,type error: type 'Trie' has no field 'root',,,
class_field_state_and_object_layout,0225_implement_stack_using_queues,type error: type 'MyStack' has no field 'q',,,
class_field_state_and_object_layout,0232_implement_queue_using_stacks,type error: type 'MyQueue' has no field 'append_stack',,,
class_field_state_and_object_layout,0303_range_sum_query_immutable,type error: type 'NumArray' has no field 'prefix',,,
class_field_state_and_object_layout,0535_encode_and_decode_tinyurl,type error: type 'Codec' has no field 'decodeMap',,,
class_field_state_and_object_layout,0705_design_hashset,type error: type 'MyHashSet' has no field 'hashset',,,
class_field_state_and_object_layout,0706_design_hashmap,type error: type 'MyHashMap' has no field 'map',,,
class_field_state_and_object_layout,0707_design_linked_list,type error: attribute assignment target must be a simple name,,,
class_field_state_and_object_layout,0721_accounts_merge,type error: type 'UnionFind' has no field 'par',,,
class_field_state_and_object_layout,0745_prefix_and_suffix_search,type error: type 'WordFilter' has no field 'root',,,
class_field_state_and_object_layout,0901_online_stock_span,type error: type 'StockSpanner' has no field 'stack',,,
class_field_state_and_object_layout,0981_time_based_key_value_store,type error: type 'TimeMap' has no field 'keyStore',,,
class_field_state_and_object_layout,1472_design_browser_history,type error: attribute assignment target must be a simple name,,,
class_field_state_and_object_layout,1603_design_parking_system,type error: type 'ParkingSystem' has no field 'parking',,,
class_field_state_and_object_layout,1845_seat_reservation_manager,type error: type 'SeatManager' has no field 'seats',,,
destructuring_and_assignment_target_surface_gap,0012_integer_to_roman,"type error: for loop tuple target expects iterable elements of tuple type, got 'list[str]'",,,
destructuring_and_assignment_target_surface_gap,0076_minimum_window_substring,type error: cannot unpack non-tuple type 'list[int]',,,
destructuring_and_assignment_target_surface_gap,0280_wiggle_sort,type error: tuple unpacking target must be a simple name or attribute,,,
destructuring_and_assignment_target_surface_gap,0283_move_zeroes,type error: tuple unpacking target must be a simple name or attribute,,,
destructuring_and_assignment_target_surface_gap,0286_walls_and_gates,type error: cannot unpack non-tuple type 'list[int]',,,
