module,status,category,sifr_module,coverage_estimate,recommended_phase,design_note
__future__,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_abc,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_aix_support,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_android_support,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_apple_support,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_ast,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_ast_unparse,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_asyncio,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_bisect,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_blake2,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_bz2,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_cn,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_hk,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_iso2022,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_jp,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_kr,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_codecs_tw,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_collections,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_collections_abc,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_colorize,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_compat_pickle,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_contextvars,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_csv,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_ctypes,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_curses,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_curses_panel,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_datetime,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_dbm,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_decimal,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_elementtree,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_frozen_importlib,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_frozen_importlib_external,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_functools,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_gdbm,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_hashlib,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_heapq,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_hmac,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_imp,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_interpchannels,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
_interpqueues,missing,cpython_internal,,0%,post-mvp-or-never,CPython/private implementation detail; usually not user-facing API target for sifr.
